Running Block:  244


trying total_time: 30.0 for unitary of size (4, 4)
data saved at: /project/ftchong/qoc/pranav/00016_27_block244.h5
Using 4 Taylor terms and 3 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :1.24e-01; Runtime: 589.4s; Iterations = 3320, grads =   1.228e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 592.7s; Iterations = 3340, grads =   1.299e-02, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 596.0s; Iterations = 3360, grads =   1.026e-02, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 599.2s; Iterations = 3380, grads =   2.039e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 602.5s; Iterations = 3400, grads =   1.187e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 606.3s; Iterations = 3420, grads =   4.407e-05, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 609.6s; Iterations = 3440, grads =   6.585e-03, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 612.8s; Iterations = 3460, grads =   8.357e-03, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 616.1s; Iterations = 3480, grads =   4.542e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 619.4s; Iterations = 3500, grads =   1.728e-07, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 623.1s; Iterations = 3520, grads =   2.935e-05, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 626.4s; Iterations = 3540, grads =   8.688e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 629.6s; Iterations = 3560, grads =   2.182e-02, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 632.8s; Iterations = 3580, grads =   1.648e-03, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 636.0s; Iterations = 3600, grads =   6.245e-05, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 639.8s; Iterations = 3620, grads =   1.152e-05, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 643.0s; Iterations = 3640, grads =   1.110e-05, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 646.2s; Iterations = 3660, grads =   4.944e-04, unitary_metric = 1.00003
Error = :1.25e-01; Runtime: 649.5s; Iterations = 3680, grads =   4.229e-02, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 652.7s; Iterations = 3700, grads =   4.348e-03, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 656.4s; Iterations = 3720, grads =   5.337e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 659.6s; Iterations = 3740, grads =   3.793e-05, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 662.9s; Iterations = 3760, grads =   7.045e-07, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 666.1s; Iterations = 3780, grads =   4.689e-06, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 669.3s; Iterations = 3800, grads =   2.879e-04, unitary_metric = 1.00003
Error = :1.25e-01; Runtime: 673.0s; Iterations = 3820, grads =   4.342e-02, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 676.2s; Iterations = 3840, grads =   3.242e-03, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 679.4s; Iterations = 3860, grads =   4.605e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 682.7s; Iterations = 3880, grads =   4.964e-05, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 685.9s; Iterations = 3900, grads =   1.175e-03, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 689.6s; Iterations = 3920, grads =   1.204e-02, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 692.8s; Iterations = 3940, grads =   2.470e-03, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 696.1s; Iterations = 3960, grads =   1.394e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 699.3s; Iterations = 3980, grads =   1.286e-05, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 702.5s; Iterations = 4000, grads =   3.081e-06, unitary_metric = 1.00004
